Months,%
Jan,1159.0840915908411
Feb,1521.8978102189778
Mar,1681.7518248175184
Apr,1747.9746530841421
May,2332.566743325668
Jun,2372.9263437292634
Jul,3034.516887294322
Aug,3068.5189545561575
Sep,2329.9270072992704
Oct,1793.0442249892653
Nov,1385.0364963503648
Dec,1117.0727083135841
Avg,1769.3430656934306
