Months,kW
Jan,1738.8
Feb,2001.6
Mar,1900.8000000000002
Apr,1634.4
May,1749.6000000000001
Jun,1609.1999999999998
Jul,1839.6000000000001
Aug,1954.8
Sep,1915.2
Oct,1879.1999999999998
Nov,1821.6
Dec,1767.6000000000001
Avg,1818.0
