Months,kW
Jan,547.5
Feb,480.0
Mar,412.50000000000006
Apr,341.25
May,273.75
Jun,247.5
Jul,221.25
Aug,232.5
Sep,300.0
Oct,382.5
Nov,480.0
Dec,577.5
Avg,375.0
