Months,%
Jan,18.356164383561644
Feb,27.312499999999996
Mar,37.309090909090905
Apr,56.87912087912088
May,85.58904109589041
Jun,100.0
Jul,100.0
Aug,96.9032258064516
Sep,65.4
Oct,43.05882352941177
Nov,22.124999999999996
Dec,16.155844155844157
Avg,46.08
