Months,kW
Jan,100.5
Feb,131.1
Mar,153.9
Apr,194.1
May,234.29999999999998
Jun,250.2
Jul,221.7
Aug,225.29999999999998
Sep,196.2
Oct,164.70000000000002
Nov,106.2
Dec,93.3
Avg,172.79999999999998
